N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,True,0.1,padic,eigenvector_costweight,5,11,True,0.08889741975889569,0.08078620417916417,0.004985778743299653,0.06854036000682633,0.09286382187802845,1.6268703441026369,0.08,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,6,13,True,0.0743827696699653,0.06631385004791207,0.004493396737357897,0.054683850987539,0.0763738269657554,1.7957282861245234,0.12,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,7,210,False,0.056493377578933204,0.031465793604378775,0.0106061913674365,0.009159389742565582,0.05192033565074334,2.3597145391318306,0.0,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,8,17,True,0.0562880623332346,0.05015668893670209,0.004216340965795599,0.04076552800477819,0.06016855207802425,1.4541929711738928,0.12,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,9,330,False,0.05389701671147626,0.03222168773820627,0.011879455163508603,0.0066142132292893235,0.05355252286220045,1.8246063203178222,0.0,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,10,390,False,0.0532431722433531,0.03040899736023893,0.010818735515672352,0.004377759291393825,0.05646707828133781,2.1106140223167387,0.04,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,11,510,False,0.05242805619012831,0.032043103458455124,0.010933292269641555,0.002104592075908516,0.05228839223203404,1.8644843866724414,0.0,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,12,570,False,0.05217089314530517,0.03242993151894357,0.010271574477301789,0.007621732850987674,0.053675167787276934,1.9219022039888176,0.02,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,13,690,False,0.051784670277780706,0.031218881321167968,0.012966266261247672,0.0021430083005642975,0.05657265640090563,1.5860995403185412,0.08,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,14,870,False,0.051399780514550665,0.03132659130868797,0.012614296313209757,0.0034968351573633647,0.05624173608488761,1.5913047154950641,0.08,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,15,930,False,0.051292367042166706,0.030292514020154534,0.0117705182251188,0.0023997756450587332,0.05482703810555986,1.7841060708098269,0.04,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,16,630,False,0.05090943318136721,0.029907703583521808,0.010964873332424975,0.004846996429448886,0.05440697853758168,1.915364542857029,0.06,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,17,462,False,0.05082047372737145,0.0306630954707435,0.01097804792978897,0.010014533881095307,0.0570916589207075,1.836153238312145,0.08,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,18,19,True,0.05057931691534215,0.045213845488755816,0.004004287885048506,0.035407423177204266,0.05479019179668586,1.3399314885975808,0.24,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,19,546,False,0.050166629259248335,0.031989132478066715,0.011451587176662772,0.005287099605987258,0.05406678071054609,1.5873342708533535,0.2,False,100,200
1000,2,True,0.1,padic,eigenvector_costweight,20,30,False,0.04989243611300201,0.027537295704877396,0.012128555936684568,0.0016614625887841907,0.05073189519339628,1.8431823643990684,0.1,False,100,200
1000,2,True,0.1,padic,pagerank,1,2,True,0.2143214394729103,0.2142960778890834,0.0002634648564188509,0.2134498740705821,0.21505594948180257,0.09626173362031139,0.96,False,100,200
1000,2,True,0.1,padic,pagerank,2,3,True,0.06301311473294254,0.06389814548807868,0.00032884549213625923,0.06299229638320272,0.06467615926577726,-2.69132701010057,0.02,False,100,200
1000,2,True,0.1,padic,pagerank,3,5,True,0.03471127303657962,0.03528892093072945,0.000231442976373017,0.034743008358392606,0.03585141946237636,-2.495854068255764,0.0,False,100,200
1000,2,True,0.1,padic,pagerank,4,7,True,0.02399661714915585,0.024399212496730133,0.0002451832137182411,0.023630069851059973,0.025093433622702922,-1.6420183970544469,0.08,False,100,200
1000,2,True,0.1,padic,pagerank,5,11,True,0.01508376336776602,0.015233130182575057,0.00019273833752954503,0.014760257149642944,0.015661314004198817,-0.7749719994660696,0.48,False,100,200
1000,2,True,0.1,padic,pagerank,6,13,True,0.01274556724150003,0.012874495978933692,0.00017995032111824,0.012504714095202506,0.013457206742563402,-0.716468504376538,0.5,False,100,200
1000,2,True,0.1,padic,pagerank,7,17,True,0.0098453492598238,0.009869169667826822,0.00017087868082281808,0.009459846853616767,0.010241240425914209,-0.13939953122485682,1.0,False,100,200
1000,2,True,0.1,padic,pagerank,8,19,True,0.00885098178001361,0.008868396304937074,0.00014701802087896523,0.008493140767129096,0.009211942735131788,-0.11845163483596127,0.98,False,100,200
1000,2,True,0.1,padic,pagerank,9,23,True,0.007429311538582441,0.007393430061337318,0.0001292053921203755,0.00708928035149258,0.007689942610904351,0.27770882202573394,0.82,False,100,200
1000,2,True,0.1,padic,pagerank,10,29,True,0.0060301810775604476,0.005992697334225309,0.00013670506282755868,0.005713925696583405,0.006325424250709542,0.27419425849955725,0.7,False,100,200
1000,2,True,0.1,padic,pagerank,11,31,True,0.005729521596011591,0.0056680023860515875,0.00012348443230258204,0.005431969381344185,0.005978131085225135,0.49819405420481777,0.6,False,100,200
1000,2,True,0.1,padic,pagerank,12,37,True,0.0048310183699871055,0.004834192065281629,0.00011481348676813387,0.004598476277849496,0.005221147328766284,-0.027642181975817658,0.98,False,100,200
1000,2,True,0.1,padic,pagerank,13,41,True,0.004367729309422131,0.004349756363241576,0.00011525793869688641,0.004125725126663079,0.004817612253488523,0.1559367309858118,0.86,False,100,200
1000,2,True,0.1,padic,pagerank,14,43,True,0.00423762844871709,0.00416512986858501,9.899510256931758e-05,0.003933776104326222,0.004384911519372915,0.7323451186013553,0.54,False,100,200
1000,2,True,0.1,padic,pagerank,15,47,True,0.003906654371959416,0.0038863751158638798,9.53405206493862e-05,0.0036719819872159847,0.004281019666629701,0.21270343351820975,0.7,False,100,200
1000,2,True,0.1,padic,pagerank,16,53,True,0.0034342999421095575,0.0033959318689682923,7.958996471948568e-05,0.0032334457820840153,0.0035903322922433223,0.4820717445533894,0.76,False,100,200
1000,2,True,0.1,padic,pagerank,17,61,True,0.0031129117031772013,0.003079521649340168,7.53922672988418e-05,0.002942900623028584,0.003309305919703883,0.44288433062613397,0.66,False,100,200
1000,2,True,0.1,padic,pagerank,18,59,True,0.0031129117031772013,0.003067134257433142,7.467705576901117e-05,0.002912201500045003,0.0032342335539130296,0.6130054977750732,0.5,False,100,200
1000,2,True,0.1,padic,pagerank,19,71,True,0.0028271311785423945,0.0027605789763676756,7.333818292633339e-05,0.0025943569265858384,0.0029418266793787757,0.9074700179246035,0.44,False,100,200
1000,2,True,0.1,padic,pagerank,20,67,True,0.0028271311785423945,0.0027532536968554746,7.25918157443836e-05,0.0025777459661464504,0.0029369931473684583,1.0177108938432269,0.26,False,100,200
1000,2,True,0.1,padic,betweenness,1,2,True,0.8789829659318636,0.8814205410821643,0.007548048095913228,0.8581371075484302,0.8982247828991314,-0.32294112588134244,0.66,False,100,200
1000,2,True,0.1,padic,betweenness,2,3,True,0.2526778557114226,0.24234768286573147,0.018618302703744878,0.20340931863727454,0.28530352371409495,0.5548396655734548,0.62,False,100,200
1000,2,True,0.1,padic,betweenness,3,5,True,0.12648046092184353,0.11233320390781562,0.013207166697853136,0.07605586172344687,0.1428415163660655,1.0711803172990566,0.3,False,100,200
1000,2,True,0.1,padic,betweenness,4,7,True,0.0849816299265196,0.0697555652972612,0.009863235447859685,0.048542919171676656,0.10073146292585174,1.5437190676171533,0.14,False,100,200
1000,2,True,0.1,padic,betweenness,5,11,True,0.03707331329325313,0.03764169589178357,0.007843628029639664,0.021207414829659325,0.062150551102204375,-0.07246424695085195,0.98,False,100,200
1000,2,True,0.1,padic,betweenness,6,13,True,0.027661155644622647,0.030932014028056117,0.007537271167778777,0.014172511690046746,0.051285070140280574,-0.43395790208744384,0.7,False,100,200
