N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
31623,2,False,0.1,padic,eigenvector,20,27648,False,0.018317377889500372,0.002866292473146835,0.0030252995882979862,2.792629004268473e-06,0.01588961756091782,5.1072910187536875,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,1,2,True,0.5105122945221744,0.5202239265432231,0.0005336224802406693,0.519061585662868,0.5215520306009405,-18.199443203121238,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,2,3,True,0.38138823125502086,0.3824732754787972,0.0009000484148068154,0.3803646755242862,0.38437703618829017,-1.2055398419976253,0.28,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,3,5,True,0.217092508212012,0.20798769628279334,0.0014807036880206499,0.20389140112750312,0.21187283256333342,6.148976329889158,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,4,7,True,0.1461504836319926,0.13699402171931882,0.0013652851821402635,0.13467486853526284,0.1418525726203833,6.706629525063675,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,5,11,True,0.08684507386131647,0.08000311010788,0.0009771536462378485,0.07691543567834648,0.08208699968753254,7.001932377552675,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,6,13,True,0.07194446771384387,0.06580777208197744,0.0009535338206487545,0.06336400609889638,0.06865778721811766,6.435739875163753,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,7,17,True,0.05356138955620039,0.04848331948464791,0.0007648766293380799,0.04684849433756617,0.05068733929276757,6.6390707687682955,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,8,19,True,0.04740926246128739,0.042766266006375106,0.0008274757282891336,0.04053570557433116,0.044535219679911114,5.611036428237051,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,9,23,True,0.0386087356487679,0.034865669364234145,0.0007477452101080857,0.032729948520893365,0.03669799668634069,5.005804429014938,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,10,29,True,0.030166759575006384,0.027080453182711624,0.000636880814640609,0.025376643632532656,0.028635724763534254,4.845971681587493,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,11,31,True,0.02814662604587455,0.025342182883213375,0.0005273863530564614,0.02429399095694542,0.02661498812950097,5.317625582095649,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,12,37,True,0.023326924108332644,0.02095471361454502,0.0004736093833132881,0.019916372957830712,0.02230762194728277,5.008791162860956,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,13,41,True,0.020975038736607894,0.018870382431538123,0.00046038172367287547,0.017786367161445618,0.019937165920744702,4.571546168859713,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,14,43,True,0.01995950305127268,0.01788316358708,0.0004863567976973245,0.016888194938283276,0.0194668506549418,4.2691692066877405,0.0,False,100,
31623,2,False,0.1,padic,eigenvector_costweight,15,47,True,0.018194016195558164,0.016347874885421845,0.00047410381852184993,0.015399501754276172,0.017256252812,3.893960010472324,0.0,False,100,
