node,is_prime,degree,degree_weighted,eigenvector,eigenvector_costweight,pagerank,betweenness,p_index,N,anchor,hub_edges,hub_cost,weighting
109,True,9.0,18.0,0.05378529168090989,0.007538380346002763,0.0023455423136345232,0.0030160420941984073,0.009174311926605505,1000,2,True,0.1,uniform
113,True,8.0,17.0,0.05377856795199326,0.007010191445550936,0.0021737053147166904,0.002344027394127595,0.008849557522123894,1000,2,True,0.1,uniform
2,True,499.0,499.0,0.5598980431314977,0.5598980431319687,0.11590594574842034,0.5385439415130081,0.5,1000,2,False,0.1,uniform
3,True,332.0,332.0,0.3488184602629756,0.3488184602633275,0.07423165978194786,0.2759787755867279,0.3333333333333333,1000,2,False,0.1,uniform
5,True,199.0,199.0,0.18375195229866073,0.18375195229915356,0.043724566719517556,0.1314623111754807,0.2,1000,2,False,0.1,uniform
7,True,141.0,141.0,0.1212022617605865,0.12120226176042269,0.030815599344808493,0.0802174181973394,0.14285714285714285,1000,2,False,0.1,uniform
11,True,89.0,89.0,0.07153182899354842,0.07153182899222897,0.019485974383684084,0.041312541380517515,0.09090909090909091,1000,2,False,0.1,uniform
13,True,75.0,75.0,0.05891696169734725,0.05891696168745213,0.016468782289209782,0.03201841085700653,0.07692307692307693,1000,2,False,0.1,uniform
17,True,57.0,57.0,0.04368038096287833,0.04368038097877155,0.012593387737348374,0.01988100465282314,0.058823529411764705,1000,2,False,0.1,uniform
19,True,51.0,51.0,0.03877274235075167,0.0387727423347003,0.011316776312665349,0.016877019289703737,0.05263157894736842,1000,2,False,0.1,uniform
23,True,42.0,42.0,0.031039247240498943,0.031039247241907698,0.009409107288860614,0.013096439599651727,0.043478260869565216,1000,2,False,0.1,uniform
29,True,33.0,33.0,0.02426171226133438,0.024261712267944463,0.00751932096534958,0.007906829321296792,0.034482758620689655,1000,2,False,0.1,uniform
30,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
31,True,31.0,31.0,0.022586013137906487,0.02258601313208894,0.007120801401663812,0.007430143234036904,0.03225806451612903,1000,2,False,0.1,uniform
37,True,26.0,26.0,0.018749603466955873,0.018749603466132345,0.005930927325618206,0.004043769466730452,0.02702702702702703,1000,2,False,0.1,uniform
41,True,23.0,23.0,0.016883098064317942,0.016883098068048732,0.005267150184106435,0.0034369832701746663,0.024390243902439025,1000,2,False,0.1,uniform
43,True,22.0,22.0,0.015454709801607026,0.015454709803381012,0.005065343444116029,0.0032356685068517126,0.023255813953488372,1000,2,False,0.1,uniform
47,True,20.0,20.0,0.014387978185278698,0.014387978187970652,0.004632343281413749,0.0024242640472039918,0.02127659574468085,1000,2,False,0.1,uniform
60,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
90,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
120,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
150,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
180,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
210,False,4.0,4.0,0.046888092343745386,0.04688809234377295,0.0009200852326670904,0.0023467901443539356,,1000,2,False,0.1,uniform
240,False,3.0,3.0,0.04220565026121749,0.04220565026126132,0.0007343174349998047,0.0013258807269581816,,1000,2,False,0.1,uniform
330,False,4.0,4.0,0.0449691601281435,0.04496916012762397,0.00092041943773919,0.002219219223583207,,1000,2,False,0.1,uniform
390,False,4.0,4.0,0.044481806307485466,0.04448180630801196,0.0009209636344760976,0.002174942634360178,,1000,2,False,0.1,uniform
420,False,4.0,4.0,0.046888092343745386,0.04688809234377295,0.0009200852326670904,0.0023467901443539356,,1000,2,False,0.1,uniform
462,False,4.0,4.0,0.04255265981732185,0.04255265981674304,0.0009194240105265367,0.002129574942294708,,1000,2,False,0.1,uniform
510,False,4.0,4.0,0.04389316706933322,0.043893167069704225,0.0009221135681237573,0.0020585920247441296,,1000,2,False,0.1,uniform
546,False,4.0,4.0,0.04206530599666382,0.04206530599713105,0.0009199682072634446,0.0020873841986525695,,1000,2,False,0.1,uniform
570,False,4.0,4.0,0.043703568845880315,0.043703568845256745,0.0009229303737428092,0.0020390012298944463,,1000,2,False,0.1,uniform
630,False,4.0,4.0,0.046888092343745386,0.04688809234377295,0.0009200852326670904,0.0023467901443539356,,1000,2,False,0.1,uniform
660,False,4.0,4.0,0.0449691601281435,0.04496916012762397,0.00092041943773919,0.002219219223583207,,1000,2,False,0.1,uniform
